PRIME,TARGET,RELATIONSHIP,LEXICALITY,COR_ANS,target_lowercase,list
scalp,SCALP,identity,W,J,scalp,4
mutt,MUTT,identity,W,J,mutt,4
flee,FLEE,identity,W,J,flee,4
shack,SHACK,identity,W,J,shack,4
rib,RIB,identity,W,J,rib,4
chap,CHAP,identity,W,J,chap,4
stern,STERN,identity,W,J,stern,4
pier,PIER,identity,W,J,pier,4
tick,TICK,identity,W,J,tick,4
ton,TON,identity,W,J,ton,4
rack,RACK,identity,W,J,rack,4
skill,SKILL,identity,W,J,skill,4
jar,JAR,identity,W,J,jar,4
pimp,PIMP,identity,W,J,pimp,4
sock,SOCK,identity,W,J,sock,4
cart,CART,identity,W,J,cart,4
blank,BLANK,identity,W,J,blank,4
dock,DOCK,identity,W,J,dock,4
sum,SUM,identity,W,J,sum,4
twin,TWIN,identity,W,J,twin,4
pills,PILL,decomposition_w,W,J,pill,4
tends,TEND,decomposition_w,W,J,tend,4
panned,PAN,decomposition_w,W,J,pan,4
hatched,HATCH,decomposition_w,W,J,hatch,4
bushes,BUSH,decomposition_w,W,J,bush,4
proms,PROM,decomposition_w,W,J,prom,4
patched ,PAT,decomposition_w,W,J,pat,4
yelling,YELL,decomposition_w,W,J,yell,4
petted,PET,decomposition_w,W,J,pet,4
sandy,SAND,decomposition_w,W,J,sand,4
chipping,CHIP,decomposition_w,W,J,chip,4
batting,BAT,decomposition_w,W,J,bat,4
horned,HORN,decomposition_w,W,J,horn,4
chucked,CHUCK,decomposition_w,W,J,chuck,4
plainness,PLAIN,decomposition_w,W,J,plain,4
dragging,DRAG,decomposition_w,W,J,drag,4
bullish,BULL,decomposition_w,W,J,bull,4
rats,RAT,decomposition_w,W,J,rat,4
bucked,BUCK,decomposition_w,W,J,buck,4
bells,BELL,decomposition_w,W,J,bell,4
tricken,TRICK,decomposition_pw,PW,F,trick,4
bander,BAND,decomposition_pw,PW,F,band,4
windous,WIND,decomposition_pw,PW,F,wind,4
nicken,NICK,decomposition_pw,PW,F,nick,4
wallist,WALL,decomposition_pw,PW,F,wall,4
cashic,CASH,decomposition_pw,PW,F,cash,4
starren,STAR,decomposition_pw,PW,F,star,4
markize,MARK,decomposition_pw,PW,F,mark,4
tripize,TRIP,decomposition_pw,PW,F,trip,4
rockize,ROCK,decomposition_pw,PW,F,rock,4
singism,SING,decomposition_pw,PW,F,sing,4
planic,PLAN,decomposition_pw,PW,F,plan,4
sicky,SICK,decomposition_pw,PW,F,sick,4
freeful,FREE,decomposition_pw,PW,F,free,4
pickly,PICK,decomposition_pw,PW,F,pick,4
funnic,FUN,decomposition_pw,PW,F,fun,4
turnism,TURN,decomposition_pw,PW,F,turn,4
carness,CAR,decomposition_pw,PW,F,car,4
boyed,BOY,decomposition_pw,PW,F,boy,4
manize,MAN,decomposition_pw,PW,F,man,4
bistro,APPEND,control,W,J,append,4
tusk,BEET,control,W,J,beet,4
bloat,SCUFF,control,W,J,scuff,4
bide,MULL,control,W,J,mull,4
faze,MUSK,control,W,J,musk,4
aloof,INFER,control,W,J,infer,4
hilt,BASK,control,W,J,bask,4
reek,TOIL,control,W,J,toil,4
clout,BRISK,control,W,J,brisk,4
burp,TWIT,control,W,J,twit,4
frisk,ELECT,control,W,J,elect,4
jest,RUMP,control,W,J,rump,4
acre,PULP,control,W,J,pulp,4
slid,BROW,control,W,J,brow,4
potty,SURGE,control,W,J,surge,4
cider,SNUFF,control,W,J,snuff,4
dire,TACK,control,W,J,tack,4
boon,TANG,control,W,J,tang,4
fight,TRUMP,control,W,J,trump,4
damp,SLED,control,W,J,sled,4
