PRIME,TARGET,RELATIONSHIP,LEXICALITY,COR_ANS,target_lowercase,list
trick,TRICK,identity,W,J,trick,2
band,BAND,identity,W,J,band,2
wind,WIND,identity,W,J,wind,2
nick,NICK,identity,W,J,nick,2
wall,WALL,identity,W,J,wall,2
cash,CASH,identity,W,J,cash,2
star,STAR,identity,W,J,star,2
mark,MARK,identity,W,J,mark,2
trip,TRIP,identity,W,J,trip,2
rock,ROCK,identity,W,J,rock,2
sing,SING,identity,W,J,sing,2
plan,PLAN,identity,W,J,plan,2
sick,SICK,identity,W,J,sick,2
free,FREE,identity,W,J,free,2
pick,PICK,identity,W,J,pick,2
fun,FUN,identity,W,J,fun,2
turn,TURN,identity,W,J,turn,2
car,CAR,identity,W,J,car,2
boy,BOY,identity,W,J,boy,2
man,MAN,identity,W,J,man,2
appending,APPEND,decomposition_w,W,J,append,2
beets,BEET,decomposition_w,W,J,beet,2
scuffed,SCUFF,decomposition_w,W,J,scuff,2
mulling,MULL,decomposition_w,W,J,mull,2
musky,MUSK,decomposition_w,W,J,musk,2
inference,INFER,decomposition_w,W,J,infer,2
basking,BASK,decomposition_w,W,J,bask,2
toiled,TOIL,decomposition_w,W,J,toil,2
briskly,BRISK,decomposition_w,W,J,brisk,2
twits,TWIT,decomposition_w,W,J,twit,2
election,ELECT,decomposition_w,W,J,elect,2
rumps,RUMP,decomposition_w,W,J,rump,2
pulped,PULP,decomposition_w,W,J,pulp,2
brows,BROW,decomposition_w,W,J,brow,2
surges,SURGE,decomposition_w,W,J,surge,2
snuffs,SNUFF,decomposition_w,W,J,snuff,2
tacked,TACK,decomposition_w,W,J,tack,2
tangy,TANG,decomposition_w,W,J,tang,2
trumped,TRUMP,decomposition_w,W,J,trump,2
sleds,SLED,decomposition_w,W,J,sled,2
scalpy,SCALP,decomposition_pw,PW,F,scalp,2
muttous,MUTT,decomposition_pw,PW,F,mutt,2
fleely,FLEE,decomposition_pw,PW,F,flee,2
shackly,SHACK,decomposition_pw,PW,F,shack,2
ribbal,RIB,decomposition_pw,PW,F,rib,2
chapen,CHAP,decomposition_pw,PW,F,chap,2
sterned,STERN,decomposition_pw,PW,F,stern,2
piered,PIER,decomposition_pw,PW,F,pier,2
ticken,TICK,decomposition_pw,PW,F,tick,2
tonist,TON,decomposition_pw,PW,F,ton,2
rackity,RACK,decomposition_pw,PW,F,rack,2
skillen,SKILL,decomposition_pw,PW,F,skill,2
jarric,JAR,decomposition_pw,PW,F,jar,2
pimpize,PIMP,decomposition_pw,PW,F,pimp,2
socken,SOCK,decomposition_pw,PW,F,sock,2
cartly,CART,decomposition_pw,PW,F,cart,2
blankal,BLANK,decomposition_pw,PW,F,blank,2
docken,DOCK,decomposition_pw,PW,F,dock,2
summal,SUM,decomposition_pw,PW,F,sum,2
twinure,TWIN,decomposition_pw,PW,F,twin,2
rage,PILL,control,W,J,pill,2
lamp,TEND,control,W,J,tend,2
bid,PAN,control,W,J,pan,2
bingo,HATCH,control,W,J,hatch,2
corn,BUSH,control,W,J,bush,2
clue,PROM,control,W,J,prom,2
shy,PAT,control,W,J,pat,2
noon,YELL,control,W,J,yell,2
bow,PET,control,W,J,pet,2
wing,SAND,control,W,J,sand,2
bury,CHIP,control,W,J,chip,2
rip,BAT,control,W,J,bat,2
blue,HORN,control,W,J,horn,2
glory,CHUCK,control,W,J,chuck,2
route,PLAIN,control,W,J,plain,2
woke,DRAG,control,W,J,drag,2
rise,BULL,control,W,J,bull,2
bud,RAT,control,W,J,rat,2
lane,BUCK,control,W,J,buck,2
draw,BELL,control,W,J,bell,2
